T_e,Volume,E_F,N_Ef,gamma,C_e,v_F,tau_e,k_e,k_lat,lambda,Log10_Ge,Composition
600,73.89,19.807,3.563,0.566,26.515101,1.004,22.454,0.123927,0.096922,0.2707,-25.030438,Ni
700,73.97,19.808,3.552,0.56,30.912474,1.021,19.802,0.133282,0.084246,0.2631,-28.801956,Ni
800,74.04,19.81,3.541,0.553,35.306423,1.029,17.821,0.140908,0.075044,0.2558,-32.573673,Ni
900,74.11,19.811,3.528,0.544,39.698192,1.032,16.287,0.147239,0.068143,0.2488,-36.345287,Ni
1000,74.17,19.812,3.515,0.534,44.088979,1.028,15.039,0.151162,0.062733,0.2425,-40.11587,Ni
3000,75.41,19.849,3.051,0.534,131.706822,1.415,6.535,0.408401,0.021027,0.186,-44.189863,Ni
6000,77.28,19.937,1.727,0.534,263.529437,1.582,3.753,0.611193,0.0106,0.1618,-47.938079,Ni
9000,79.15,20.046,0.679,0.534,396.471568,1.646,2.609,0.700706,0.007123,0.1543,-51.427171,Ni
12000,81.01,20.166,0.455,0.534,529.553319,1.733,1.948,0.776077,0.005384,0.1534,-55.129263,Ni
15000,82.88,20.295,0.343,0.534,657.061588,1.835,1.5,0.826695,0.00434,0.1568,-58.882356,Ni
18000,84.74,20.429,0.385,0.534,767.461366,1.925,1.21,0.849175,0.003643,0.162,-62.818858,Ni
21000,86.61,20.567,0.349,0.534,849.275636,1.999,0.993,0.824271,0.003146,0.1672,-66.67538,Ni
24000,88.47,20.709,0.301,0.534,896.914916,0.937,0.832,0.159199,0.002772,0.1713,-70.52548,Ni
27000,90.34,20.853,0.345,0.534,911.59982,1.014,0.733,0.166199,0.002481,0.1736,-74.516449,Ni
30000,92.2,20.998,0.314,0.534,899.029357,1.22,0.646,0.209253,0.002248,0.1739,-78.425799,Ni
