T_e,Volume,E_F,N_Ef,gamma,C_e,v_F,tau_e,k_e,k_lat,lambda,Log10_Ge,Composition,Al,Cr,Fe,Co,Ni,Mn,Cu,logT,T_norm,Ce_over_T,T_tau,k_ratio
400,69.75,21.955,1.669,0.665,20.705706,1.342,15.357,0.075162,0.42023,0.5937,-17.097763,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.6020599913279625,400,0.051764265,6142.799999999999,0.17885877053334953
500,69.81,21.954,1.669,0.663,25.861213,1.336,12.558,0.077349,0.337769,0.5808,-20.799734,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.6989700043360187,500,0.051722426,6279.0,0.2289990230038192
600,69.87,21.954,1.67,0.66,31.008623,1.345,10.608,0.080217,0.284054,0.573,-24.496226,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.7781512503836434,600,0.05168103833333333,6364.8,0.2823995353012621
700,69.93,21.953,1.67,0.654,36.148435,1.349,9.205,0.082284,0.246713,0.566,-28.191572,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.845098040014257,700,0.051640621428571426,6443.5,0.33351978404144067
800,69.99,21.953,1.67,0.648,41.281243,1.357,8.142,0.084808,0.219548,0.5599,-31.886273,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.9030899869919438,800,0.05160155375,6513.599999999999,0.3862827888079654
900,70.05,21.953,1.67,0.64,46.407683,1.371,7.296,0.087714,0.199103,0.5554,-35.580032,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.9542425094393248,900,0.05156409222222222,6566.400000000001,0.44054363548698167
1000,70.1,21.953,1.67,0.631,51.52838,1.38,6.598,0.089588,0.183129,0.5527,-39.272775,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,3.0,1000,0.05152838,6598.0,0.48920439032381374
3000,71.15,21.957,1.667,0.631,152.306388,2.123,2.127,0.19717,0.061347,0.5714,-42.928899,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,3.4771212547196626,3000,0.050768796,6380.999999999999,3.2139597052878663
6000,72.73,21.964,1.664,0.631,298.194936,1.904,1.114,0.168097,0.030898,0.5454,-46.659773,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,3.7781512503836434,6000,0.049699155999999994,6684.000000000001,5.440208420984498
9000,74.31,21.956,1.668,0.631,440.576499,1.83,0.773,0.163744,0.020747,0.524,-50.454278,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,3.9542425094393248,9000,0.04895294433333333,6957.0,7.892037786774628
12000,75.88,21.951,1.671,0.631,580.495941,1.879,0.597,0.179202,0.015669,0.5088,-54.277174,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,4.079181246047625,12000,0.04837466175,7164.0,11.435992342054883
15000,77.46,21.959,1.666,0.631,715.721779,1.974,0.491,0.203937,0.012622,0.4953,-58.116068,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,4.176091259055681,15000,0.047714785266666664,7365.0,16.155985106551537
18000,79.04,21.98,1.655,0.631,840.190599,2.066,0.421,0.229712,0.010589,0.4806,-61.968878,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,4.2552725051033065,18000,0.0466772555,7578.0,21.69140698772427
21000,80.61,22.011,1.644,0.631,946.243503,2.153,0.373,0.254401,0.009136,0.4648,-65.835329,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,4.3222192947339195,21000,0.04505921442857143,7833.0,27.84294626244938
24000,82.19,22.05,1.631,0.631,1027.990645,1.618,0.338,0.144696,0.008046,0.4483,-69.714677,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,4.380211241711606,24000,0.04283294354166667,8112.000000000001,17.98135951286194
27000,83.76,22.097,1.609,0.631,1082.984731,1.943,0.312,0.207843,0.007197,0.4315,-73.604969,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,4.431363764158987,27000,0.04011054559259259,8424.0,28.87510419560989
30000,85.34,22.148,1.582,0.631,1112.023007,2.133,0.292,0.246482,0.006518,0.4147,-77.50694,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,4.477121254719663,30000,0.03706743356666667,8760.0,37.809786777113054
100,69.77,21.907,1.716,0.668,5.169396,1.687,16.222,0.007537,1.627809,2.2482,-5.536473,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.0,100,0.05169396,1622.2,0.004630147253057789
200,69.82,21.907,1.717,0.684,10.33174,1.585,16.432,0.031947,0.78359,1.1097,-9.536341,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.3010299956639813,200,0.0516587,3286.3999999999996,0.040769993529787864
300,69.88,21.907,1.717,0.687,15.484992,1.56,14.168,0.05155,0.51862,0.858,-13.338059,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.4771212547196626,300,0.05161664,4250.4,0.09939821179628283
400,69.95,21.907,1.717,0.687,20.629039,1.581,11.976,0.066365,0.389103,0.7613,-17.080145,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.6020599913279625,400,0.0515725975,4790.400000000001,0.17055851391915786
500,70.01,21.907,1.717,0.685,25.764002,1.563,10.052,0.070781,0.312922,0.7256,-20.791327,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.6989700043360187,500,0.051528004,5026.0,0.22619302512119596
600,70.07,21.907,1.716,0.681,30.890273,1.572,8.506,0.073641,0.263271,0.7146,-24.488869,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.7781512503836434,600,0.051483788333333336,5103.6,0.27971451578595524
700,70.13,21.908,1.716,0.676,36.008438,1.579,7.297,0.074348,0.228717,0.714,-28.180865,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.845098040014257,700,0.05144062571428571,5107.9,0.32506405267622135
800,70.19,21.908,1.715,0.669,41.119163,1.585,6.352,0.074086,0.203571,0.7177,-31.871031,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.9030899869919438,800,0.051398953750000004,5081.6,0.363930206511701
900,70.25,21.909,1.715,0.661,46.223138,1.568,5.605,0.071571,0.18469,0.7229,-35.561116,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,2.9542425094393248,900,0.05135904222222222,5044.5,0.3875175292786329
1000,70.31,21.909,1.714,0.652,51.321028,1.566,5.009,0.070401,0.169889,0.728,-39.252079,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,3.0,1000,0.051321028,5009.0,0.41439166519512627
3000,71.39,21.917,1.705,0.652,151.615022,2.126,1.671,0.127936,0.056919,0.7274,-42.949031,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,3.4771212547196626,3000,0.05053834066666667,5013.0,2.2476458186929023
6000,73.02,21.924,1.698,0.652,296.5837,1.994,0.9,0.126062,0.028674,0.6754,-46.687814,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,3.7781512503836434,6000,0.04943061666666667,5400.0,4.3962336530078465
9000,74.65,21.918,1.705,0.652,437.614678,1.873,0.633,0.120499,0.019257,0.6399,-50.484805,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,3.9542425094393248,9000,0.048623853111111115,5697.0,6.257087963443763
12000,76.27,21.913,1.71,0.652,575.824799,1.897,0.492,0.129823,0.014547,0.6177,-54.309886,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,4.079181246047625,12000,0.047985399916666664,5904.0,8.923769590321694
15000,77.9,21.919,1.704,0.652,709.197181,1.973,0.406,0.146222,0.01172,0.5985,-58.151446,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,4.176091259055681,15000,0.04727981206666667,6090.0,12.47521542530501
18000,79.53,21.936,1.685,0.652,832.005144,2.061,0.35,0.165583,0.009834,0.5784,-62.006507,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,4.2552725051033065,18000,0.046222507999999995,6300.0,16.836095577020846
21000,81.16,21.964,1.659,0.652,936.917878,2.145,0.311,0.18451,0.008486,0.5573,-65.874498,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,4.3222192947339195,21000,0.04461513704761905,6531.0,21.740308707434902
24000,82.79,21.999,1.634,0.652,1018.223063,1.65,0.283,0.110921,0.007475,0.536,-69.756629,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,4.380211241711606,24000,0.042425960958333335,6791.999999999999,14.836944890315678
27000,84.41,22.041,1.617,0.652,1073.470585,1.958,0.262,0.156737,0.006688,0.5147,-73.654744,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,4.431363764158987,27000,0.039758169814814816,7074.0,23.432052623710565
30000,86.04,22.088,1.603,0.652,1103.325624,2.165,0.246,0.189818,0.006057,0.4937,-77.567386,Ni-0.1_Xx3-0.9,0.3,0.3,0.3,0.0,0.1,0.0,0.0,4.477121254719663,30000,0.036777520800000005,7380.0,31.33344338065368
100,73.53,19.803,3.604,0.55,4.437578,1.021,95.546,0.077239,0.602289,0.3817,-6.104402,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,100,0.044375780000000004,9554.6,0.1282422089026881
200,73.59,19.804,3.598,0.567,8.868333,1.009,59.013,0.103606,0.289623,0.309,-9.948056,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3010299956639813,200,0.044341665,11802.6,0.3577258790707953
300,73.66,19.805,3.589,0.571,13.290641,0.993,41.419,0.108088,0.191282,0.2935,-13.723825,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4771212547196626,300,0.04430213666666667,12425.699999999999,0.5650685110543018
400,73.74,19.806,3.581,0.571,17.705258,0.993,31.935,0.112382,0.143319,0.2855,-17.491625,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6020599913279625,400,0.044263145000000004,12774.0,0.7841334077588612
500,73.82,19.806,3.573,0.57,22.113077,0.999,26.209,0.117926,0.115192,0.2783,-21.259987,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6989700043360187,500,0.044226154000000004,13104.5,1.0237253999809015
600,73.89,19.807,3.563,0.566,26.515101,1.004,22.454,0.123927,0.096922,0.2707,-25.030438,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7781512503836434,600,0.044191835000000006,13472.4,1.2786129195340632
700,73.97,19.808,3.552,0.56,30.912474,1.021,19.802,0.133282,0.084246,0.2631,-28.801956,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.845098040014257,700,0.044160677142857145,13861.4,1.5820385295618835
800,74.04,19.81,3.541,0.553,35.306423,1.029,17.821,0.140908,0.075044,0.2558,-32.573673,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9030899869919438,800,0.044133028750000004,14256.800000000001,1.8776467452861616
900,74.11,19.811,3.528,0.544,39.698192,1.032,16.287,0.147239,0.068143,0.2488,-36.345287,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9542425094393248,900,0.044109102222222224,14658.3,2.1607038037097914
1000,74.17,19.812,3.515,0.534,44.088979,1.028,15.039,0.151162,0.062733,0.2425,-40.11587,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1000,0.044088979,15039.0,2.4095705677941783
3000,75.41,19.849,3.051,0.534,131.706822,1.415,6.535,0.408401,0.021027,0.186,-44.189863,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.4771212547196626,3000,0.043902274,19605.0,19.421770972037283
6000,77.28,19.937,1.727,0.534,263.529437,1.582,3.753,0.611193,0.0106,0.1618,-47.938079,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7781512503836434,6000,0.04392157283333333,22518.0,57.654277898311484
9000,79.15,20.046,0.679,0.534,396.471568,1.646,2.609,0.700706,0.007123,0.1543,-51.427171,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.9542425094393248,9000,0.04405239644444444,23481.0,98.3585064570466
12000,81.01,20.166,0.455,0.534,529.553319,1.733,1.948,0.776077,0.005384,0.1534,-55.129263,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.079181246047625,12000,0.04412944325,23376.0,144.11829155060354
15000,82.88,20.295,0.343,0.534,657.061588,1.835,1.5,0.826695,0.00434,0.1568,-58.882356,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.176091259055681,15000,0.04380410586666667,22500.0,190.43883897719417
18000,84.74,20.429,0.385,0.534,767.461366,1.925,1.21,0.849175,0.003643,0.162,-62.818858,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2552725051033065,18000,0.04263674255555556,21780.0,233.03375411635565
21000,86.61,20.567,0.349,0.534,849.275636,1.999,0.993,0.824271,0.003146,0.1672,-66.67538,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3222192947339195,21000,0.04044169695238095,20853.0,261.9227836034318
24000,88.47,20.709,0.301,0.534,896.914916,0.937,0.832,0.159199,0.002772,0.1713,-70.52548,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.380211241711606,24000,0.03737145483333333,19968.0,57.41038586368553
27000,90.34,20.853,0.345,0.534,911.59982,1.014,0.733,0.166199,0.002481,0.1736,-74.516449,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.431363764158987,27000,0.0337629562962963,19791.0,66.96172441579371
30000,92.2,20.998,0.314,0.534,899.029357,1.22,0.646,0.209253,0.002248,0.1739,-78.425799,Ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.477121254719663,30000,0.029967645233333333,19380.0,93.04268563806136
